ID,ID_marked,Source,City,Country,Geo_macro,Construction period,Function  Classification,Typology,Residential building type,Primary Code,Structural_type,Hybrid Structure,Structure,Number of floors,Gross floor area (m2),Net floor area (m2),Aluminium,Cement,Concrete,Copper,Glass,Steel,Wood,Brick,Note_1,Note_2
2435,G-8,"Beate Lubitz-Prohaska, Alexander Passer, Gernot Fischer AT2 - LCT One",,Austria,Western Europe,2012,NR,NR-OL,Office,W,W,0,massive wood,8,2355.0,,,,853.56348195329,,,,58.4963906581741,,,
2436,G-9,"Beate Lubitz-Prohaska, Alexander Passer, Gernot Fischer AT1 - Aspern IQ",,Austria,Western Europe,2012,NR,NR-OL,Office,B,B,0,massive brick,5,12682.0,,,50.6558113862166,1048.32037533512,,,,,,,
2437,G-17,No data No data,,Austria,Western Europe,2018,NR,NR-H,Hotel & Resort,C,C,0,massive concrete,5,9419.0,,,39.4714937891495,866.509183565134,,,51.4993099055101,,52.3544643805074,,
2438,G-28,"Beate Lubitz-Prohaska, Alexander Passer, Gernot Fischer, Helmuth Kreiner AT3 - TU Vienna",,Austria,Western Europe,2014,NR,NR-OH,Office,C,C,0,frame concrete,11,10526.25,,,,1930.5352808455,,,,,,,
2439,G-198,"Robertson A B, Lam F C F, Cole R J. A Comparative Cradle-to-Gate Life Cycle Assessment of Mid-Rise Office Building Construction Alternatives: Laminated Timber or Reinforced Concrete",,Canada,North America,2009,NR,NR-OL,Office,C,C,0,frame concrete,5,14233.0,,,,2037.16714677158,,4.24190262067027,,,,,
2440,G-199,"Robertson A B, Lam F C F, Cole R J. A Comparative Cradle-to-Gate Life Cycle Assessment of Mid-Rise Office Building Construction Alternatives: Laminated Timber or Reinforced Concrete",,Canada,North America,2009,NR,NR-OL,Office,W,W,0,massive wood,5,14233.0,,,,1291.89208178177,,4.24190262067027,,143.019251036324,,,
2441,G-259,"Zhang, X
Wang, F Analysis of embodied carbon in the building life cycle considering the temporal perspectives of emissions: A case study in China",,China,East Asia,2012,R,R-MFH,Multi-family house,C,C,0,frame concrete,16,17558.0,,,258.911977446178,1588.38076660211,,,51.1140220981888,,,,
2442,G-298,Holger König DE1 - Energy Plus Primary School in Hohen Neuendorf,,Germany,Western Europe,2011,NR,NR-E,School and Daycare,C,C,0,massive concrete,2,7414.0,,,,1285.1362287564,,,,,,,
2443,G-303,Holger König DE2 - Schmuttertal Gymnasium Diedorf,,Germany,Western Europe,2015,NR,NR-E,School and Daycare,W,W,0,massive wood,2,17292.0,,,,646.77307425399,,,,66.5047420772611,,,
2444,G-310,"Rasmussen, F DK1 - Office building",,Denmark,Northern Europe,2013,NR,NR-OL,Office,C,C,0,frame concrete,6,33000.0,,,,1168.6961030303,,30.7551606060606,,,,,
2445,G-336,No data No data,,Denmark,Northern Europe,2020,NR,NR-OL,Office,C,C,0,massive concrete,5,5083.0,,,30.0767263427109,1607.07456226637,,,77.6698799921306,,,,
2446,G-351,No data No data,,Denmark,Northern Europe,2019,NR,NR-OH,Office,C,C,0,massive concrete,,6552.0,,,49.5995879120879,548.565641025641,,,,,,"Restored by direct row copy from data/sources/sources/4. Processed_G.xlsx (Processed sheet), matched on ID_marked; this sheet already carries the final 28-column schema and matched 0 mismatches across all overlapping fields for the 49 already-retained G records. Geo_macro is not in that sheet and was derived via the same country lookup used for B/N/R.",
