manifest_version,ID_marked,split_group_id,split,source_prefix,n_observed_targets
1,B-131,record:B-131,test,B,3
1,B-175,record:B-175,test,B,4
1,B-238,record:B-238,test,B,5
1,B-242,record:B-242,test,B,5
1,B-266,record:B-266,test,B,5
1,B-277,record:B-277,test,B,3
1,B-278,record:B-278,test,B,3
1,B-319,record:B-319,test,B,5
1,B-389,record:B-389,test,B,4
1,B-482,record:B-482,test,B,4
1,B-512,record:B-512,test,B,4
1,B-516,record:B-516,test,B,4
1,B-531,record:B-531,test,B,5
1,B-536,record:B-536,test,B,3
1,B-679,record:B-679,test,B,3
1,B-682,record:B-682,test,B,2
1,B-763,record:B-763,test,B,4
1,B-853,record:B-853,test,B,4
1,B-857,record:B-857,test,B,4
1,B-858,record:B-858,test,B,4
1,B-860,record:B-860,test,B,4
1,B-861,record:B-861,test,B,5
1,B-867,record:B-867,test,B,4
1,B-877,record:B-877,test,B,5
1,B-882,record:B-882,test,B,5
1,B-894,record:B-894,test,B,2
1,B-895,record:B-895,test,B,2
1,B-896,record:B-896,test,B,5
1,B-908,record:B-908,test,B,4
1,C-15,record:C-15,test,C,2
1,C-575,record:C-575,test,C,4
1,C-578,record:C-578,test,C,4
1,C-582,record:C-582,test,C,4
1,C-584,record:C-584,test,C,4
1,C-585,record:C-585,test,C,4
1,C-592,record:C-592,test,C,2
1,C-593,record:C-593,test,C,2
1,C-598,record:C-598,test,C,2
1,C-600,record:C-600,test,C,2
1,C-602,record:C-602,test,C,2
1,C-603,record:C-603,test,C,2
1,C-605,record:C-605,test,C,2
1,C-607,record:C-607,test,C,2
1,C-612,record:C-612,test,C,2
1,C-621,record:C-621,test,C,4
1,C-625,record:C-625,test,C,4
1,C-627,record:C-627,test,C,4
1,C-628,record:C-628,test,C,4
1,C-629,record:C-629,test,C,4
1,C-635,record:C-635,test,C,4
1,C-637,record:C-637,test,C,4
1,C-642,record:C-642,test,C,4
1,C-644,record:C-644,test,C,4
1,C-649,record:C-649,test,C,4
1,C-653,record:C-653,test,C,4
1,C-667,record:C-667,test,C,4
1,C-668,record:C-668,test,C,4
1,C-690,record:C-690,test,C,4
1,C-698,record:C-698,test,C,4
1,C-711,record:C-711,test,C,4
