ID_marked,source_dataset,source_access_doi,source_license,how_to_locate_original_record,original_primary_citation_if_applicable
R-1,Marinova et al. (2020),https://doi.org/10.1016/j.jclepro.2019.119146,CC BY-NC-ND 4.0,"Row 0-3 in sheet ""Region 1"" of the downloadable source workbook (verified by matching 4/4 reported material-intensity values)","Zhang, W., Tan, S., Lei, Y., & Wang, S. (2014). Life cycle assessment of a single-family residential building in Canada: A case study. Building Simulation. https://doi.org/10.1007/s12273-013-0159-y"
R-2,Marinova et al. (2020),https://doi.org/10.1016/j.jclepro.2019.119146,CC BY-NC-ND 4.0,"Row 4-7 in sheet ""Region 1"" of the downloadable source workbook (verified by matching 4/4 reported material-intensity values)","Kumar, V., Hewage, K., & Sadiq, R. (2015). Life Cycle Assessment of Residential Buildings. A Case Study in Canada. Engineering and Technology International Journal of Energy and Environmental Engineering, 9(8), 1017–1024"
R-3,Marinova et al. (2020),https://doi.org/10.1016/j.jclepro.2019.119146,CC BY-NC-ND 4.0,"Row 8-11 in sheet ""Region 1"" of the downloadable source workbook (verified by matching 4/4 reported material-intensity values)","Reza, B., Sadiq, R., & Hewage, K. (2014). Emergy-based life cycle assessment (Em-LCA) of multi-unit and single-family residential buildings in Canada. International Journal of Sustainable Built Environment, 3(2), 207–224. https://doi.org/10.1016/j.ijsbe.2014.09.001"
R-4,Marinova et al. (2020),https://doi.org/10.1016/j.jclepro.2019.119146,CC BY-NC-ND 4.0,"Row 12-14 in sheet ""Region 1"" of the downloadable source workbook (verified by matching 3/3 reported material-intensity values)","Reza, Sadiq, & Hewage, 2014"
R-5,Marinova et al. (2020),https://doi.org/10.1016/j.jclepro.2019.119146,CC BY-NC-ND 4.0,"Row 0-5 in sheet ""Region 2"" of the downloadable source workbook (verified by matching 6/6 reported material-intensity values)","Blanchard, S., & Reppe, P. (1998). Life Cycle Analysis of a Residential Home in Michigan. Retrieved from http://www.umich.edu/~css"
R-6,Marinova et al. (2020),https://doi.org/10.1016/j.jclepro.2019.119146,CC BY-NC-ND 4.0,"Row 6-10 in sheet ""Region 2"" of the downloadable source workbook (verified by matching 5/5 reported material-intensity values)","Mosteiro-Romero, M., Krogmann, U., Wallbaum, H., Ostermeyer, Y., Senick, J. S., & Andrews, C. J. (2014). Relative importance of electricity sources and construction practices in residential buildings: A Swiss-US comparison of energy related life-cycle impacts. Energy and Buildings. https://doi.org/10.1016/j.enbuild.2013.09.046"
R-7,Marinova et al. (2020),https://doi.org/10.1016/j.jclepro.2019.119146,CC BY-NC-ND 4.0,"Row 11-12 in sheet ""Region 2"" of the downloadable source workbook (verified by matching 2/2 reported material-intensity values)","Reyna, J. L., & Chester, M. V. (2015). The Growth of Urban Building Stock: Unintended Lock-in and Embedded Environmental Effects. Journal of Industrial Ecology. https://doi.org/10.1111/jiec.12211"
R-8,Marinova et al. (2020),https://doi.org/10.1016/j.jclepro.2019.119146,CC BY-NC-ND 4.0,"Row 13-18 in sheet ""Region 2"" of the downloadable source workbook (verified by matching 3/3 reported material-intensity values)","Reyna & Chester, 2015"
R-9,Marinova et al. (2020),https://doi.org/10.1016/j.jclepro.2019.119146,CC BY-NC-ND 4.0,"Row 15-18 in sheet ""Region 2"" of the downloadable source workbook (verified by matching 3/3 reported material-intensity values)","Reyna & Chester, 2015"
R-10,Marinova et al. (2020),https://doi.org/10.1016/j.jclepro.2019.119146,CC BY-NC-ND 4.0,"Row 19-21 in sheet ""Region 2"" of the downloadable source workbook (verified by matching 3/3 reported material-intensity values)","Reyna & Chester, 2015"
