ID_marked,original_source_citation,specific_or_general,data_derivation_method
N-1,"F.Henry, A., G.Elambo, N., J.H.M., T., E.N.Fabrice, O. & M.Blanche, M. Embodied Energy and CO2 Analyses of Mud-brick and Cement-block Houses. AIMS Energy 2, 18–40 (2014).",Specific,Architectural drawing
N-2,"F.Henry, A., G.Elambo, N., J.H.M., T., E.N.Fabrice, O. & M.Blanche, M. Embodied Energy and CO2 Analyses of Mud-brick and Cement-block Houses. AIMS Energy 2, 18–40 (2014).",Specific,Architectural drawing
N-3,"Ezema, I. C., Fagbenle, O. I. & Olotuah, A. O. Estimating embodied energy in residential buildings in a nigerian context. Int. J. Appl. Eng. Res. 10, 44140–44149 (2015).",Specific,Architectural drawing
N-4,"van Beers, D. & Graedel, T. E. The magnitude and spatial distribution of in-use copper stocks in Cape Town, South Africa. African J. Environ. Assess. Manag. 99, 61–69 (2003).",General,Assumed
N-5,"van Beers, D. & Graedel, T. E. The magnitude and spatial distribution of in-use copper stocks in Cape Town, South Africa. African J. Environ. Assess. Manag. 99, 61–69 (2003).",General,Assumed
N-6,"Cao, Z. et al. A Probabilistic Dynamic Material Flow Analysis Model for Chinese Urban Housing Stock. J. Ind. Ecol. 22, 377–391 (2018).",General,Construction bill of materials
N-7,"Han, J. & Xiang, W. N. Analysis of material stock accumulation in China’s infrastructure and its regional disparity. Sustain. Sci. 8, 553–564 (2013).",General,Report/Literature
N-8,"Han, J. & Xiang, W. N. Analysis of material stock accumulation in China’s infrastructure and its regional disparity. Sustain. Sci. 8, 553–564 (2013).",General,Report/Literature
N-9,"Han, J. & Xiang, W. N. Analysis of material stock accumulation in China’s infrastructure and its regional disparity. Sustain. Sci. 8, 553–564 (2013).",General,Report/Literature
N-10,"Han, J. & Xiang, W. N. Analysis of material stock accumulation in China’s infrastructure and its regional disparity. Sustain. Sci. 8, 553–564 (2013).",General,Report/Literature
N-11,"Hong, L. et al. Modeling China’s Building Floor-Area Growth and the Implications for Building Materials and Energy Demand. ACEEE Summer Study Energy Effic. Build. 146–157 (2014).",General,Report/Literature
N-12,"Hong, L. et al. Modeling China’s Building Floor-Area Growth and the Implications for Building Materials and Energy Demand. ACEEE Summer Study Energy Effic. Build. 146–157 (2014).",General,Report/Literature
N-13,"Hong, L. et al. Modeling China’s Building Floor-Area Growth and the Implications for Building Materials and Energy Demand. ACEEE Summer Study Energy Effic. Build. 146–157 (2014).",General,Report/Literature
N-14,"Fernández, J. E. Resource Consumption of New Urban Construction in China. J. Ind. Ecol. 11, 99–115 (2007).",General,Architectural drawing
N-15,"Fernández, J. E. Resource Consumption of New Urban Construction in China. J. Ind. Ecol. 11, 99–115 (2007).",General,Architectural drawing
N-16,"Fernández, J. E. Resource Consumption of New Urban Construction in China. J. Ind. Ecol. 11, 99–115 (2007).",General,Architectural drawing
