ID_marked,original_case_study_title,original_source_citation
R-1,Life cycle assessment of a single-family residential building in Canada: A case study,"Zhang, W., Tan, S., Lei, Y., & Wang, S. (2014). Life cycle assessment of a single-family residential building in Canada: A case study. Building Simulation. https://doi.org/10.1007/s12273-013-0159-y"
R-2,Life cycle assessment of residential buildings: A case study in Canada,"Kumar, V., Hewage, K., & Sadiq, R. (2015). Life Cycle Assessment of Residential Buildings. A Case Study in Canada. Engineering and Technology International Journal of Energy and Environmental Engineering, 9(8), 1017–1024"
R-3,Emergy-based life cycle assessment (Em-LCA) of multi-unit and single-family residential buildings in Canada,"Reza, B., Sadiq, R., & Hewage, K. (2014). Emergy-based life cycle assessment (Em-LCA) of multi-unit and single-family residential buildings in Canada. International Journal of Sustainable Built Environment, 3(2), 207–224. https://doi.org/10.1016/j.ijsbe.2014.09.001"
R-4,,"Reza, Sadiq, & Hewage, 2014"
R-5,Life Cycle Analysis of a Residential Home in Michigan,"Blanchard, S., & Reppe, P. (1998). Life Cycle Analysis of a Residential Home in Michigan. Retrieved from http://www.umich.edu/~css"
R-6,Relative importance of electricity sources and construction practices in residential buildings: A Swiss-US comparison of energy relatedlife-cycle impacts,"Mosteiro-Romero, M., Krogmann, U., Wallbaum, H., Ostermeyer, Y., Senick, J. S., & Andrews, C. J. (2014). Relative importance of electricity sources and construction practices in residential buildings: A Swiss-US comparison of energy related life-cycle impacts. Energy and Buildings. https://doi.org/10.1016/j.enbuild.2013.09.046"
R-7,The growth of urban building stock: Unintended lock-in and embedded environmental effects,"Reyna, J. L., & Chester, M. V. (2015). The Growth of Urban Building Stock: Unintended Lock-in and Embedded Environmental Effects. Journal of Industrial Ecology. https://doi.org/10.1111/jiec.12211"
R-8,,"Reyna & Chester, 2015"
R-9,,"Reyna & Chester, 2015"
R-10,,"Reyna & Chester, 2015"
R-11,,"Reyna & Chester, 2015"
R-12,,"Reyna & Chester, 2015"
R-13,A database seed for a community-driven material intensity research platform,"Heeren, N. and Fishman, T. (2019). A database seed for a community-driven material intensity research platform. Scientific Data, 6(1)."
R-14,,"Heeren et al., 2019"
R-15,,"Heeren et al., 2019"
R-16,"Environmental performance analysis of residential buildings in Brazil
using LCA","Evangelista, P. P. A., Kiperstok, A., Torres, E. A., & Gonçalves, J. P. (2018). Environmental performance analysis of residential buildings in Brazil using life cycle assessment (LCA). Construction and Building Materials"
R-17,,"Evangelista, Kiperstok, Torres, & Gonçalves, 2018"
R-18,,"Evangelista, Kiperstok, Torres, & Gonçalves, 2018"
R-19,,"Evangelista, Kiperstok, Torres, & Gonçalves, 2018"
R-20,Material flow analysis of the residential building stock at the city of Rio de Janeiro,"Condeixa, K., Haddad, A., & Boer, D. (2017). Material flow analysis of the residential building stock at the city of Rio de Janeiro. Journal of Cleaner Production. https://doi.org/10.1016/j.jclepro.2017.02.080"
R-21,,"Condeixa, Haddad, & Boer, 2017"
R-22,,"Condeixa, Haddad, & Boer, 2017"
R-23,,"Condeixa, Haddad, & Boer, 2017"
R-24,Geospatial characterization of material stock in the residential sector of a Latin-American cty,"Mesta, C., Kahhat, R., & Santa-Cruz, S. (2018). Geospatial Characterization of Material Stock in the Residential Sector of a Latin-American City. Journal of Industrial Ecology. https://doi.org/10.1111/jiec.12723"
R-25,,"Mesta, Kahhat, & Santa-Cruz, 2018"
R-26,,"Mesta, Kahhat, & Santa-Cruz, 2018"
R-27,Life cycle assessment model applied to housing in Chile,"Oyarzo, J., & Peuportier, B. (2014). Life cycle assessment model applied to housing in Chile. Journal of Cleaner Production, 69(March 2012), 109–116. https://doi.org/10.1016/j.jclepro.2014.01.090"
R-28,"Life cycle assessment of two dwellings: One in Spain, a developed country, and one in Colombia, a country under development","Ortiz-Rodríguez, O., Castells, F., & Sonnemann, G. (2010). Life cycle assessment of two dwellings: One in Spain, a developed country, and one in Colombia, a country under development. Science of the Total Environment. https://doi.org/10.1016/j.scitotenv.2010.02.021"
R-29,Embodied energy and CO2 analyses of mud-brick and cement-block houses,"F.Henry, A., G.Elambo, N., J.H.M., T., E.N.Fabrice, O., & M.Blanche, M. (2014). Embodied Energy and CO2 Analyses of Mud-brick and Cement-block Houses. AIMS Energy. https://doi.org/10.3934/energy.2014.1.18"
R-30,,"F.Henry, G.Elambo, J.H.M., E.N.Fabrice, & M.Blanche, 2014"
R-31,Estimating Embodied Energy in Residential Buildings in a Nigerian Context,"Ezema, I. C., & Olotuah, A. O. (2015). Estimating Embodied Energy in Residential Buildings in a Nigerian Context. Article in International Journal of Applied Engineering Research. Retrieved from http://www.ripublication.com"
R-32,"The magnitude and spatial distribution of in-use copper stocks in Cape Town, South Africa","Van Beers, D., & Graedel, T. E. (2003). The magnitude and spatial distribution of in-use copper stocks in Cape Town, South Africa. South African Journal of Science"
R-33,Environmental Improvement Potentials of Residential Buildings (IMPRO-Building),"Nemry, F., & Uihlein, A. (2008). Environmental Improvement Potentials of Residential Buildings (IMPRO-Building). https://doi.org/10.2791/38942"
R-34,,"Nemry & Uihlein, 2008"
R-35,,"Nemry & Uihlein, 2008"
R-36,,"Nemry & Uihlein, 2008"
R-37,,"Nemry & Uihlein, 2008"
R-38,,"Nemry & Uihlein, 2008"
R-39,,"Nemry & Uihlein, 2008"
R-40,,"Nemry & Uihlein, 2008"
R-41,,"Nemry & Uihlein, 2008"
R-42,,"Nemry & Uihlein, 2008"
R-43,,"Nemry & Uihlein, 2008"
R-44,,"Nemry & Uihlein, 2008"
R-45,,"Nemry & Uihlein, 2008"
R-46,,"Nemry & Uihlein, 2008"
R-47,,"Nemry & Uihlein, 2008"
R-48,,"Nemry & Uihlein, 2008"
R-49,,"Nemry & Uihlein, 2008"
R-50,,"Nemry & Uihlein, 2008"
R-51,,"Nemry & Uihlein, 2008"
R-52,,"Nemry & Uihlein, 2008"
R-53,,"Nemry & Uihlein, 2008"
R-54,,"Nemry & Uihlein, 2008"
R-55,,"Nemry & Uihlein, 2008"
R-56,,"Nemry & Uihlein, 2008"
R-57,,"Nemry & Uihlein, 2008"
R-58,,"Nemry & Uihlein, 2008"
R-59,,"Nemry & Uihlein, 2008"
R-60,,"Nemry & Uihlein, 2008"
R-61,,"Nemry & Uihlein, 2008"
R-62,,"Nemry & Uihlein, 2008"
R-63,,"Nemry & Uihlein, 2008"
R-64,,"Nemry & Uihlein, 2008"
R-65,,"Nemry & Uihlein, 2008"
R-66,,"Nemry & Uihlein, 2008"
R-67,,"Nemry & Uihlein, 2008"
R-68,,"Nemry & Uihlein, 2008"
R-69,,"Nemry & Uihlein, 2008"
R-70,,"Nemry & Uihlein, 2008"
R-71,,"Nemry & Uihlein, 2008"
R-72,,"Nemry & Uihlein, 2008"
R-73,,"Nemry & Uihlein, 2008"
R-74,,"Nemry & Uihlein, 2008"
R-75,,"Nemry & Uihlein, 2008"
R-76,,"Nemry & Uihlein, 2008"
R-77,,"Nemry & Uihlein, 2008"
R-78,,"Nemry & Uihlein, 2008"
R-79,,"Nemry & Uihlein, 2008"
R-80,,"Nemry & Uihlein, 2008"
R-81,,"Nemry & Uihlein, 2008"
R-82,,"Nemry & Uihlein, 2008"
R-83,,"Nemry & Uihlein, 2008"
R-84,,"Nemry & Uihlein, 2008"
R-85,,"Nemry & Uihlein, 2008"
R-86,,"Nemry & Uihlein, 2008"
R-87,,"Nemry & Uihlein, 2008"
R-88,,"Nemry & Uihlein, 2008"
R-89,,"Nemry & Uihlein, 2008"
R-90,,"Nemry & Uihlein, 2008"
R-91,,"Nemry & Uihlein, 2008"
R-92,,"Nemry & Uihlein, 2008"
R-93,,"Nemry & Uihlein, 2008"
R-94,,"Nemry & Uihlein, 2008"
